Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc 
Gaia DR3 5587583745782326144,115.7170632,-36.0012852,18.698,3.228,1.053,4.9974,35.4818,17.55,nan,nan,2.559,M4.7,nan,nan,1.052,nan,None
Gaia DR3 5587183871449600768,115.9480138,-36.4725792,15.656,1.739,3.295,5.3646,35.4836,17.42,nan,nan,2.657,K7.2,nan,nan,1.044,nan,None
Gaia DR3 5588499505833788544,114.8426922,-34.8574132,13.523,1.128,1.695,3.9670,35.4910,17.93,-0.12,4.35,2.486,K2.2,nan,nan,0.929,nan,Gaia DR3
Gaia DR3 5589514011463235456,109.4709913,-36.1413595,15.997,1.777,3.673,2.2917,35.4971,18.87,nan,nan,2.433,K7.5,nan,nan,0.987,nan,None
Gaia DR3 5588805444943540736,114.7295593,-33.8482705,15.051,1.452,2.861,3.7852,35.5131,18.10,49.24,4.71,2.477,K5.0,nan,nan,1.000,nan,Gaia DR3
Gaia DR3 5592315601453153024,113.7947996,-31.8920944,13.242,1.082,2.631,3.6576,35.5135,18.60,19.75,2.28,2.472,K1.9,nan,nan,1.485,nan,Gaia DR3
Gaia DR3 5591682763792936576,112.7327800,-33.6325244,11.209,0.585,0.697,2.1494,35.5183,18.59,10.49,4.28,2.886,F5.0,nan,nan,0.922,nan,Gaia DR3
Gaia DR3 5591804118085986816,113.6674243,-33.8962285,18.000,2.884,1.288,2.9022,35.5480,18.34,nan,nan,2.447,M3.9,nan,nan,1.059,nan,None
Gaia DR3 5594906188287204608,116.0207807,-33.0425799,17.569,2.407,4.040,4.9575,35.5662,17.91,nan,nan,2.553,M2.7,nan,nan,1.042,nan,None
Gaia DR3 5579670530534368640,104.7975165,-33.7712833,15.615,1.879,3.101,4.4644,35.5691,20.17,nan,nan,2.513,M0.2,nan,nan,1.014,nan,None
Gaia DR3 5587009147881556608,114.8522700,-37.5342704,20.201,2.185,1.344,5.2418,35.5768,17.50,nan,nan,2.705,M1.6,nan,nan,1.059,nan,None
Gaia DR3 5590118708499131648,108.0408473,-36.6896932,13.243,1.242,2.879,3.2676,35.5893,19.05,52.86,5.51,2.854,K3.3,nan,nan,1.731,nan,Gaia DR3
Gaia DR3 5587229982219281152,114.6828693,-36.4968080,5.750,-0.200,3.209,4.4959,35.5931,17.71,nan,nan,2.789,B2.0,nan,nan,2.037,nan,None
Gaia DR3 5587100888383053056,114.3345975,-36.8797028,18.196,2.958,0.845,4.5010,35.5933,17.72,nan,nan,2.515,M4.0,nan,nan,1.144,nan,None
Gaia DR3 5591754640064453120,112.4843923,-33.2276444,17.445,2.921,1.393,2.0492,35.6080,18.71,nan,nan,2.889,M3.9,nan,nan,0.987,nan,None
Gaia DR3 5585529239595391872,113.6670456,-38.0203013,17.495,3.034,1.350,4.9791,35.6362,17.67,nan,nan,2.746,M4.2,nan,nan,1.047,nan,None
Gaia DR3 5586985542741152512,115.7246961,-36.7552401,17.617,3.167,2.092,5.3421,35.6426,17.43,nan,nan,2.615,M4.5,nan,nan,1.012,nan,None
Gaia DR3 5585814631573890688,111.5493131,-38.6781059,17.622,2.664,0.596,4.8837,35.6559,18.00,nan,nan,2.756,M3.4,nan,nan,0.907,nan,None
Gaia DR3 5592221417113483520,114.0534624,-32.3223381,18.887,2.792,4.281,3.6240,35.6681,18.48,nan,nan,2.470,M3.7,nan,nan,0.960,nan,None
Gaia DR3 5588150101651327232,113.2595756,-35.9466679,16.522,2.484,2.040,3.2418,35.6722,18.11,nan,nan,2.856,M3.0,nan,nan,1.008,nan,None
Gaia DR3 5599550491047132928,113.8999337,-29.5575572,16.736,1.415,2.337,5.3944,35.6821,18.88,nan,nan,2.639,K4.8,nan,nan,9.370,nan,None
Gaia DR3 5587058595845238016,114.9731509,-37.1316989,10.024,0.208,1.258,5.0561,35.7012,17.54,5.58,2.18,2.738,A6.0,nan,nan,0.902,nan,Gaia DR3
Gaia DR3 5605157618087481728,109.5853262,-31.2182837,19.340,3.084,1.810,2.7486,35.7233,19.63,nan,nan,2.873,M4.3,nan,nan,1.031,nan,None
Gaia DR3 5588911410375605632,114.9634742,-33.5106148,17.373,3.157,1.414,4.0077,35.7444,18.10,nan,nan,2.485,M4.5,nan,nan,0.999,nan,None
Gaia DR3 5586366517690222848,112.9589184,-37.3611329,18.214,3.117,2.312,4.1178,35.8188,17.94,nan,nan,2.817,M4.4,nan,nan,1.005,nan,None
Gaia DR3 5588102887073011584,114.7027343,-35.2436796,18.700,3.200,2.367,3.9580,35.8210,17.90,nan,nan,2.825,M4.6,nan,nan,0.925,nan,None
Gaia DR3 5579451624641672448,104.2407341,-35.0015499,11.393,0.673,1.251,5.0059,35.8364,20.05,20.82,1.28,2.554,F7.1,nan,nan,0.890,nan,Gaia DR3
Gaia DR3 5586986676612677632,115.8799750,-36.7043476,18.316,3.039,2.731,5.4249,35.8728,17.40,nan,nan,2.656,M4.2,nan,nan,1.030,nan,None
Gaia DR3 5607255181332808192,104.8023019,-30.9394227,13.919,1.120,1.521,5.4233,35.8955,20.63,12.51,5.28,2.635,K2.1,nan,nan,1.031,nan,Gaia DR3
Gaia DR3 5585755193521629056,111.6426079,-38.9735963,20.283,2.473,3.899,5.1880,35.8993,17.93,nan,nan,2.575,M3.0,nan,nan,0.954,nan,None
Gaia DR3 5611628553254909952,113.2768398,-29.1706676,19.114,2.738,2.901,5.4385,35.9669,19.08,nan,nan,2.657,M3.6,nan,nan,1.066,nan,None
Gaia DR3 5565189580144078464,108.2674985,-38.4216461,19.796,2.595,3.095,4.7540,35.9787,18.69,nan,nan,2.774,M3.3,nan,nan,1.038,nan,None
Gaia DR3 5589633686432810880,110.7626907,-36.1848865,16.735,3.149,0.764,2.3139,35.9789,18.60,nan,nan,2.887,M4.5,nan,nan,1.112,nan,None
Gaia DR3 5587170505510563072,115.2300690,-36.5334810,17.141,2.744,1.047,4.8877,35.9857,17.58,nan,nan,2.762,M3.6,nan,nan,1.026,nan,None
Gaia DR3 5585747668742262144,111.9900658,-38.8930469,16.966,2.770,2.402,5.1816,35.9872,17.87,nan,nan,2.727,M3.6,nan,nan,1.045,nan,None
Gaia DR3 5586238841203131776,112.3921243,-37.8326522,13.209,1.255,1.495,4.3044,36.0095,17.98,15.71,6.41,2.808,K3.4,nan,nan,1.850,nan,Gaia DR3
Gaia DR3 5605090552179333376,108.8415675,-31.5215321,16.330,2.228,1.513,2.6483,36.0177,19.75,nan,nan,2.437,M1.9,nan,nan,0.997,nan,None
Gaia DR3 5606317224896221952,108.6885779,-29.4410398,19.036,3.689,2.351,4.6551,36.0197,20.07,nan,nan,2.783,M5.6,nan,nan,1.008,nan,None
Gaia DR3 5604980154342806144,110.4523979,-31.1850886,13.041,0.856,2.947,2.7475,36.0339,19.45,-1.54,1.97,2.439,G5.4,nan,nan,0.941,nan,Gaia DR3
Gaia DR3 5589190445807389952,110.2656386,-37.1809754,14.098,1.242,2.211,3.2596,36.0537,18.53,16.70,5.21,2.859,K3.3,nan,nan,3.657,nan,Gaia DR3
Gaia DR3 5607797687242662400,106.1629979,-29.7855125,15.700,2.361,3.107,5.3561,36.0804,20.54,nan,nan,2.600,M2.6,nan,nan,1.747,nan,None
Gaia DR3 5587174010204817280,115.6525635,-36.7050861,13.853,1.195,0.724,5.2669,36.1116,17.45,13.97,4.44,2.582,K2.8,nan,nan,0.963,nan,Gaia DR3
Gaia DR3 5585685889931929216,110.5864320,-39.2993543,11.712,0.885,1.416,5.3874,36.1149,18.08,37.31,0.46,2.691,G7.4,nan,nan,0.904,nan,Gaia DR3
Gaia DR3 5603327416563196800,107.5341640,-33.3429277,15.126,1.661,4.519,2.2701,36.1247,19.73,-0.38,8.86,2.428,K5.7,nan,nan,1.026,nan,Gaia DR3
Gaia DR3 5587174319442474752,115.6046194,-36.6749519,16.572,2.469,0.589,5.2185,36.1274,17.47,nan,nan,2.725,M2.9,nan,nan,1.030,nan,None
Gaia DR3 5592103979829841152,113.5044760,-32.9561250,16.925,2.929,2.456,2.9450,36.1344,18.52,nan,nan,2.444,M4.0,nan,nan,1.056,nan,None
Gaia DR3 5588727379616740224,114.8667483,-34.3473867,10.769,0.498,1.088,3.9101,36.1367,18.00,-26.91,0.67,2.832,F2.2,nan,nan,0.887,nan,Gaia DR3
Gaia DR3 5588346639356098816,113.8466151,-34.9022530,17.131,2.956,0.322,3.1870,36.1445,18.15,nan,nan,2.451,M4.0,nan,nan,1.619,nan,None
Gaia DR3 5604404933659891328,107.2675899,-31.3116322,19.128,3.357,3.204,3.5765,36.1635,20.10,nan,nan,2.464,M5.0,nan,nan,1.005,nan,None
Gaia DR3 5599276158594660352,114.9518870,-30.3341637,19.562,2.754,4.254,5.4090,36.1815,18.53,nan,nan,2.610,M3.6,nan,nan,1.073,nan,None
Gaia DR3 5586563540729806336,111.5224021,-36.7261520,17.534,3.123,1.269,3.0129,36.2071,18.35,nan,nan,2.445,M4.4,nan,nan,1.028,nan,None
Gaia DR3 5592991418846763008,112.2262173,-32.1567749,17.679,2.869,3.512,2.4671,36.2081,18.92,nan,nan,2.432,M3.8,nan,nan,1.561,nan,None
Gaia DR3 5594910685114329472,115.9544339,-32.9374442,18.425,3.120,1.853,4.9258,36.2177,17.94,nan,nan,2.762,M4.4,nan,nan,0.977,nan,None
Gaia DR3 5605894157740056448,108.6851666,-30.8868033,16.900,2.863,1.480,3.2842,36.2192,19.87,nan,nan,2.860,M3.8,nan,nan,2.366,nan,None
Gaia DR3 5588091793177494144,114.6876084,-35.4453559,15.612,2.250,1.948,4.0141,36.2325,17.87,nan,nan,2.481,M2.0,nan,nan,1.018,nan,None
Gaia DR3 5607785897553326592,105.9047281,-29.8076139,19.023,3.184,3.153,5.4810,36.2393,20.59,nan,nan,2.642,M4.6,nan,nan,1.067,nan,None
Gaia DR3 5566302736883735168,106.2895043,-36.5961431,15.506,1.794,3.743,4.1456,36.2432,19.40,nan,nan,2.488,K7.7,nan,nan,0.981,nan,None
Gaia DR3 5592811927876045184,111.6257350,-32.1797258,18.515,--,1.882,2.1271,36.2600,19.05,nan,nan,2.893,nan,nan,nan,1.035,nan,None
Gaia DR3 5586853365127392896,115.2395695,-37.3367234,15.563,1.987,0.799,5.3496,36.2738,17.44,nan,nan,2.706,M0.6,nan,nan,1.100,nan,None
Gaia DR3 5566196118616235520,106.1686966,-37.3846059,14.253,1.239,2.462,4.7488,36.2802,19.27,20.39,2.74,2.524,K3.3,nan,nan,1.039,nan,Gaia DR3
Gaia DR3 5588092033695823616,114.5187055,-35.5603221,17.288,2.831,1.134,3.9302,36.2844,17.89,nan,nan,2.832,M3.8,nan,nan,1.000,nan,None
Gaia DR3 5602917878542692736,106.7272618,-34.0195680,17.599,3.022,3.020,2.8570,36.3012,19.77,nan,nan,2.875,M4.2,nan,nan,0.987,nan,None
Gaia DR3 5606761393234673280,109.1500553,-28.5042870,9.610,0.287,3.451,5.4878,36.3088,20.10,nan,nan,2.637,A6.4,nan,nan,0.976,nan,None
Gaia DR3 5585470042057804416,113.7915912,-38.2729108,13.743,1.223,1.253,5.2419,36.3090,17.60,14.04,3.30,2.726,K3.1,nan,nan,1.052,nan,Gaia DR3
Gaia DR3 5606789946179354880,108.4414120,-28.6828056,17.837,2.521,4.371,5.4435,36.3245,20.23,nan,nan,2.614,M3.1,nan,nan,0.957,nan,None
Gaia DR3 5594631276013408768,116.7141475,-33.5910798,15.993,--,4.122,5.4496,36.3249,17.67,nan,nan,2.616,nan,nan,nan,1.223,nan,None
Gaia DR3 5607751988790392192,106.5058244,-29.8123675,16.803,2.669,1.917,5.1544,36.3267,20.47,nan,nan,2.739,M3.4,nan,nan,2.103,nan,None
Gaia DR3 5577982329211433984,104.7279102,-36.6916986,19.585,2.593,2.842,5.2327,36.3286,19.66,nan,nan,2.572,M3.3,nan,nan,1.070,nan,None
Gaia DR3 5586992212830308608,116.0724136,-36.5663044,17.420,2.766,0.998,5.4961,36.3299,17.38,nan,nan,2.646,M3.6,nan,nan,1.028,nan,None
Gaia DR3 5591806729426553344,113.7793633,-33.7926733,17.436,2.899,2.499,2.9996,36.3539,18.33,nan,nan,2.871,M3.9,nan,nan,2.923,nan,None
Gaia DR3 5590556589004544768,108.5410835,-35.1082880,11.377,0.572,3.659,1.7913,36.3608,19.23,18.37,0.93,2.419,F4.7,nan,nan,2.031,nan,Gaia DR3
Gaia DR3 5590335136191893760,108.5566723,-35.5528484,18.624,3.381,4.393,2.1016,36.3685,19.16,nan,nan,2.423,M5.0,nan,nan,1.086,nan,None
Gaia DR3 5606350077104368000,107.9311506,-29.5271721,16.796,2.091,2.917,4.7897,36.3730,20.22,nan,nan,2.526,M1.0,nan,nan,3.468,nan,None
Gaia DR3 5587146419334118528,115.4748629,-36.9665562,17.361,2.791,1.030,5.2845,36.3902,17.45,nan,nan,2.721,M3.7,nan,nan,1.049,nan,None
Gaia DR3 5588652849042503936,116.1289150,-34.0908134,18.800,2.972,4.570,4.9416,36.4113,17.74,nan,nan,2.538,M4.0,nan,nan,1.053,nan,None
Gaia DR3 5589517172559113088,109.4029737,-36.1067821,18.596,3.331,3.960,2.2731,36.4177,18.89,nan,nan,2.426,M4.9,nan,nan,1.040,nan,None
Gaia DR3 5590426606113039872,108.0563165,-35.5778869,16.747,2.925,1.553,2.3995,36.4418,19.25,nan,nan,2.889,M3.9,nan,nan,1.813,nan,None
Gaia DR3 5587015852325799424,114.3577393,-37.6294235,19.796,2.941,2.639,5.0271,36.4420,17.59,nan,nan,2.546,M4.0,nan,nan,1.031,nan,None
Gaia DR3 5604852439183441536,109.8707411,-31.6181757,18.391,3.314,1.073,2.3179,36.4440,19.51,nan,nan,2.427,M4.9,nan,nan,0.987,nan,None
Gaia DR3 5604931187409739136,110.5456240,-31.2968592,18.624,2.469,2.009,2.6444,36.4500,19.42,nan,nan,2.434,M2.9,nan,nan,0.969,nan,None
Gaia DR3 5598256159702771072,114.5804248,-32.0518445,17.260,2.800,2.533,4.1445,36.4622,18.39,nan,nan,2.485,M3.7,nan,nan,1.152,nan,None
Gaia DR3 5602733852080935168,107.7752457,-33.9681196,15.234,1.722,3.973,1.9874,36.4700,19.58,20.42,8.17,2.421,K7.1,nan,nan,1.001,nan,Gaia DR3
Gaia DR3 5587114563557916800,114.8272197,-36.7989039,17.620,3.075,0.248,4.7631,36.4742,17.62,nan,nan,2.781,M4.3,nan,nan,1.019,nan,None
Gaia DR3 5593193866424250624,111.7197530,-31.9483787,19.007,3.283,0.937,2.3637,36.4903,19.06,nan,nan,2.890,M4.8,nan,nan,0.981,nan,None
Gaia DR3 5604631368632493696,107.2767410,-30.7948305,18.200,3.152,3.410,3.9689,36.5055,20.17,nan,nan,2.833,M4.5,nan,nan,0.984,nan,None
Gaia DR3 5592049038607557120,114.5674626,-32.4167679,19.463,2.777,2.972,3.9761,36.5141,18.35,nan,nan,2.477,M3.6,nan,nan,1.012,nan,None
Gaia DR3 5607007649478040832,103.8647501,-32.3162548,19.329,3.072,1.559,5.5189,36.5143,20.58,nan,nan,2.637,M4.3,nan,nan,1.111,nan,None
Gaia DR3 5586383628840646912,112.7303547,-37.2106012,18.820,3.065,3.937,3.8918,36.5443,18.01,nan,nan,2.473,M4.3,nan,nan,0.972,nan,None
Gaia DR3 5604350409047563904,107.8850376,-31.5142992,14.671,1.443,1.910,3.0813,36.5539,19.94,20.52,7.35,2.870,K5.0,nan,nan,1.430,nan,Gaia DR3
Gaia DR3 5607261881481733248,104.8066784,-30.7519353,14.190,1.395,3.633,5.5293,36.5771,20.65,14.20,6.45,2.659,K4.6,nan,nan,1.081,nan,Gaia DR3
Gaia DR3 5586849718693692672,115.4219563,-37.3895697,18.325,2.949,1.073,5.4965,36.5971,17.39,nan,nan,2.618,M4.0,nan,nan,0.980,nan,None
Gaia DR3 5586835631206181888,115.3615089,-37.5165001,18.196,3.249,0.447,5.5373,36.6038,17.39,nan,nan,2.645,M4.7,nan,nan,1.029,nan,None
Gaia DR3 5590795560985117056,109.7113145,-34.2983119,14.731,1.322,3.091,0.5346,36.6039,19.13,-4.47,8.00,2.406,K4.0,nan,nan,1.021,nan,Gaia DR3
Gaia DR3 5587262963268322944,115.2110796,-36.1290647,18.290,3.230,1.395,4.6797,36.6040,17.64,nan,nan,2.790,M4.7,nan,nan,0.973,nan,None
Gaia DR3 5579457019120215552,104.2766352,-34.8793978,13.985,1.282,4.270,4.9555,36.6055,20.07,12.59,2.87,2.766,K3.7,nan,nan,0.979,nan,Gaia DR3
Gaia DR3 5588280217682445312,114.0184674,-35.2391961,19.673,3.195,1.085,3.4307,36.6237,18.06,nan,nan,2.858,M4.6,nan,nan,0.952,nan,None
Gaia DR3 5607795900538142848,106.1536023,-29.8269186,12.263,0.808,2.298,5.3288,36.6409,20.53,22.00,2.53,2.579,G1.2,nan,nan,3.196,nan,Gaia DR3
Gaia DR3 5606560908466022656,110.3303817,-29.2101684,17.467,2.876,2.181,4.7141,36.6679,19.75,nan,nan,2.788,M3.8,nan,nan,1.029,nan,None
Gaia DR3 5606565203433352448,110.2341918,-29.1303177,16.837,2.612,1.789,4.7923,36.6732,19.78,nan,nan,2.782,M3.3,nan,nan,1.025,nan,None
Gaia DR3 5588575986306347520,115.9004962,-34.4714396,17.938,3.003,0.842,4.7705,36.6756,17.74,nan,nan,2.521,M4.1,nan,nan,1.004,nan,None
Gaia DR3 5586225440905223040,112.2235310,-38.1248366,16.562,1.821,2.784,4.5183,36.6826,17.96,nan,nan,2.504,K7.9,nan,nan,1.139,nan,None
Gaia DR3 5591657681183301632,112.6417442,-33.8090829,16.750,2.439,0.276,2.0551,36.7056,18.58,nan,nan,2.421,M2.8,nan,nan,1.002,nan,None
Gaia DR3 5606806919887779200,108.9533121,-28.5458229,18.153,3.230,1.265,5.4761,36.7242,20.14,nan,nan,2.606,M4.7,nan,nan,1.002,nan,None
Gaia DR3 5602542532760315136,107.3296110,-34.7827322,19.000,3.221,4.367,2.4980,36.7327,19.53,nan,nan,2.429,M4.7,nan,nan,1.013,nan,None
Gaia DR3 5607025933157758976,104.5960169,-32.2084593,19.745,2.407,4.142,4.9752,36.7335,20.47,nan,nan,2.537,M2.7,nan,nan,1.603,nan,None
Gaia DR3 5603906824828756608,104.6735215,-33.1308355,20.156,2.451,3.119,4.6496,36.7416,20.30,nan,nan,2.512,M2.9,nan,nan,1.089,nan,None
Gaia DR3 5592595358440686208,111.8587408,-32.5623687,19.468,2.901,1.870,1.9604,36.7499,18.94,nan,nan,2.901,M3.9,nan,nan,1.045,nan,None
Gaia DR3 5598142222809898240,116.0666645,-31.6498154,14.832,1.174,3.664,5.4518,36.7635,18.09,52.16,4.87,2.701,K2.6,nan,nan,13.912,nan,Gaia DR3
Gaia DR3 5586852368695038976,115.2890502,-37.3635787,13.905,1.234,0.621,5.3971,36.7716,17.43,18.96,2.97,2.587,K3.2,nan,nan,1.000,nan,Gaia DR3
Gaia DR3 5587150611222075520,115.5843401,-36.7342839,17.588,2.803,1.206,5.2347,36.8074,17.46,nan,nan,2.739,M3.7,nan,nan,0.991,nan,None
Gaia DR3 5579417952097919488,103.9189474,-35.3400584,18.045,2.702,4.362,5.3346,36.8084,20.05,nan,nan,2.576,M3.5,nan,nan,1.057,nan,None
Gaia DR3 5593172705132879104,113.0548819,-31.1036627,16.607,2.478,2.153,3.7227,36.8098,18.88,nan,nan,2.848,M3.0,nan,nan,1.057,nan,None
Gaia DR3 5592634150586992384,110.3719825,-33.2574537,17.642,2.105,0.832,0.6857,36.8125,19.16,nan,nan,2.405,M1.1,nan,nan,1.549,nan,None
Gaia DR3 5588064610322033536,114.5101590,-35.6949209,18.125,3.048,4.993,3.9792,36.8136,17.87,nan,nan,2.475,M4.2,nan,nan,0.978,nan,None
Gaia DR3 5611811179560495744,112.3803179,-28.7425234,13.250,--,4.607,5.5126,36.8179,19.34,6.34,9.44,2.686,nan,nan,nan,1.970,nan,Gaia DR3
Gaia DR3 5607094893152727296,104.0228131,-31.8321072,11.372,0.699,4.765,5.5688,36.8226,20.63,11.47,3.33,2.641,F8.2,nan,nan,1.791,nan,Gaia DR3
Gaia DR3 5587021929704176384,114.4550689,-37.4401143,19.986,2.956,0.715,4.9473,36.8309,17.60,nan,nan,2.533,M4.0,nan,nan,1.023,nan,None
Gaia DR3 5602765016363452544,106.0359008,-34.7900178,16.592,2.495,3.062,3.5215,36.8357,19.77,nan,nan,2.857,M3.0,nan,nan,1.020,nan,None
Gaia DR3 5605632508335440512,110.4139103,-30.0208318,15.406,1.785,1.060,3.9070,36.8467,19.62,nan,nan,2.471,K7.6,nan,nan,1.033,nan,None
Gaia DR3 5586689671032373632,112.7625907,-36.1461833,18.144,3.022,1.014,3.0739,36.8625,18.19,nan,nan,2.874,M4.2,nan,nan,1.032,nan,None
Gaia DR3 5590719007489179392,109.9669231,-34.8583082,13.423,0.951,3.058,0.9509,36.8767,18.99,16.60,2.04,2.406,G9.0,nan,nan,0.927,nan,Gaia DR3
Gaia DR3 5589905605103777792,109.7828109,-35.6691669,18.484,3.100,2.991,1.7756,36.8874,18.89,nan,nan,2.906,M4.4,nan,nan,0.997,nan,None
Gaia DR3 5606425084409342592,109.6126036,-29.7588041,20.102,2.521,4.261,4.1904,36.8987,19.83,nan,nan,2.484,M3.1,nan,nan,1.054,nan,None
Gaia DR3 5607211922422574592,104.2491928,-31.4507813,11.589,0.651,4.931,5.5614,36.9056,20.65,18.21,3.72,2.672,F6.3,nan,nan,1.077,nan,Gaia DR3
Gaia DR3 5578286657712345728,105.6755919,-36.7494806,17.525,2.320,4.746,4.6291,36.9099,19.48,nan,nan,2.508,M2.4,nan,nan,0.943,nan,None
Gaia DR3 5592021855752709248,114.3194937,-32.6754184,18.398,2.703,2.697,3.6849,36.9155,18.37,nan,nan,2.462,M3.5,nan,nan,0.988,nan,None
Gaia DR3 5577859871104477952,105.0302372,-37.6366326,19.823,2.890,3.805,5.5827,36.9170,19.42,nan,nan,2.641,M3.9,nan,nan,1.332,nan,None
Gaia DR3 5609384827980925952,107.7415690,-29.0053410,19.346,3.064,3.491,5.3351,36.9338,20.33,nan,nan,2.573,M4.3,nan,nan,1.050,nan,None
Gaia DR3 5609248797772962048,107.0477067,-29.6342071,18.913,3.021,2.967,5.0425,36.9356,20.38,nan,nan,2.540,M4.2,nan,nan,1.060,nan,None
Gaia DR3 5579692486407799424,103.4722773,-34.5975574,17.003,2.390,3.447,5.5759,36.9452,20.26,nan,nan,2.631,M2.7,nan,nan,1.344,nan,None
Gaia DR3 5588422196419801856,115.1339297,-35.4502278,14.453,1.509,2.715,4.3574,36.9590,17.77,9.01,6.24,2.492,K5.3,nan,nan,1.061,nan,Gaia DR3
Gaia DR3 5603072536024044032,108.2254356,-33.6883448,15.049,1.996,3.895,1.6330,36.9604,19.53,39.40,7.97,2.413,M0.7,nan,nan,1.016,nan,Gaia DR3
Gaia DR3 5587218398685315456,115.1484804,-36.4984124,18.348,3.057,0.833,4.8134,36.9707,17.60,nan,nan,2.784,M4.3,nan,nan,1.000,nan,None
Gaia DR3 5588724145500541312,115.0084898,-34.4507986,18.832,3.290,3.786,4.0365,36.9907,17.95,nan,nan,2.835,M4.8,nan,nan,0.972,nan,None
Gaia DR3 5566059607375758720,107.5124274,-37.2990781,13.553,1.239,1.200,4.0085,36.9996,19.04,29.22,2.86,2.474,K3.3,nan,nan,48.982,nan,Gaia DR3
Gaia DR3 5588036263537387264,114.7360486,-35.7631696,18.624,3.545,1.485,4.1742,36.9997,17.81,nan,nan,2.482,M5.4,nan,nan,1.029,nan,None
Gaia DR3 5598132430284397568,116.1817665,-31.6080446,18.632,2.638,4.470,5.5582,37.0103,18.07,nan,nan,2.618,M3.4,nan,nan,1.045,nan,None
Gaia DR3 5609346315011341696,106.9066159,-29.0664979,15.290,1.794,1.920,5.5959,37.0113,20.49,-6.44,5.90,2.639,K7.7,nan,nan,1.077,nan,Gaia DR3
Gaia DR3 5587877800725094016,114.1960839,-36.7199891,9.388,0.055,1.076,4.3138,37.0175,17.78,12.06,2.52,2.489,A1.7,nan,nan,1.052,nan,Gaia DR3
Gaia DR3 5607781263289457152,105.5824937,-29.8977373,19.743,3.155,4.381,5.5991,37.0316,20.63,nan,nan,2.659,M4.5,nan,nan,0.978,nan,None
Gaia DR3 5609330848830319744,106.5789996,-29.2263102,18.316,3.286,1.455,5.6038,37.0373,20.54,nan,nan,2.648,M4.8,nan,nan,1.002,nan,None
Gaia DR3 5589388976375168128,109.0134773,-36.4715153,16.140,1.939,2.950,2.7188,37.0413,18.90,nan,nan,2.432,M0.5,nan,nan,1.063,nan,None
Gaia DR3 5586843568300071296,115.1137738,-37.5510870,18.085,3.053,1.956,5.4085,37.0662,17.44,nan,nan,2.719,M4.2,nan,nan,1.085,nan,None
Gaia DR3 5589994120084773248,111.4602210,-35.1103268,19.642,2.897,4.385,1.5940,37.0904,18.64,nan,nan,2.411,M3.9,nan,nan,1.110,nan,None
Gaia DR3 5588321415009524224,114.0540822,-34.9403528,19.725,2.941,1.628,3.3609,37.0988,18.09,nan,nan,2.449,M4.0,nan,nan,1.059,nan,None
Gaia DR3 5606685217695394432,110.3519962,-28.3185208,19.138,2.850,3.657,5.6060,37.0989,19.86,nan,nan,2.663,M3.8,nan,nan,1.082,nan,None
Gaia DR3 5588628728507156608,115.7794066,-34.2652133,15.393,1.882,2.032,4.6570,37.1003,17.80,21.97,10.82,2.798,M0.2,nan,nan,1.166,nan,Gaia DR3
Gaia DR3 5587199500827637120,115.6442365,-36.3747888,7.570,-0.134,0.857,5.1024,37.1096,17.51,nan,nan,2.760,B6.1,nan,nan,1.188,nan,None
Gaia DR3 5592016156331285504,113.9380835,-32.8221874,19.270,2.951,1.591,3.3330,37.1403,18.44,nan,nan,2.867,M4.0,nan,nan,1.071,nan,None
Gaia DR3 5603992067040791552,104.7187361,-32.7127711,19.728,2.306,1.730,4.7128,37.1645,20.36,nan,nan,2.511,M2.3,nan,nan,1.034,nan,None
Gaia DR3 5592120816098947712,113.2647413,-32.8465494,16.964,2.537,0.559,2.7986,37.1667,18.59,nan,nan,2.433,M3.1,nan,nan,1.017,nan,None
Gaia DR3 5586827354805693568,115.2254713,-37.6731421,17.507,2.783,1.390,5.5552,37.1679,17.39,nan,nan,2.609,M3.7,nan,nan,1.065,nan,None
Gaia DR3 5591180901153084160,109.2115482,-33.3013628,17.812,2.904,0.598,1.0116,37.1695,19.40,nan,nan,2.918,M3.9,nan,nan,0.988,nan,None
Gaia DR3 5604463796188511360,106.3680888,-31.6962103,15.341,1.758,4.303,3.8942,37.2062,20.21,nan,nan,2.468,K7.4,nan,nan,0.993,nan,None
Gaia DR3 5589011603368923008,110.2037401,-38.0317923,12.831,0.995,4.094,4.1096,37.2226,18.39,41.76,8.52,2.477,K0.5,nan,nan,1.660,nan,Gaia DR3
Gaia DR3 5587607935037893120,116.5933071,-35.6340435,19.844,3.234,3.002,5.5450,37.2420,17.40,nan,nan,2.696,M4.7,nan,nan,1.103,nan,None
Gaia DR3 5586801443259227392,115.1120993,-37.8742052,19.030,3.549,2.111,5.6234,37.2626,17.38,nan,nan,2.631,M5.4,nan,nan,1.066,nan,None
Gaia DR3 5588318253911882112,114.0618404,-34.9861866,17.540,2.878,2.149,3.3803,37.2636,18.08,nan,nan,2.448,M3.8,nan,nan,0.997,nan,None
Gaia DR3 5585530304739513344,113.8420585,-37.9556204,12.423,0.780,3.659,5.0094,37.2856,17.65,37.99,18.43,2.532,F9.9,nan,nan,1.013,nan,Gaia DR3
