Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5592859172517133696,110.6485025,-32.0459908,6.795,-0.250,0.557,1.9187,13.6852,19.29,nan,nan,2.603,nan,nan,nan,0.950,nan,None
Gaia DR3 5592584775644704512,111.5607187,-32.6491300,17.277,2.713,0.518,1.7238,13.7353,19.00,nan,nan,2.586,M3.5,nan,nan,1.047,nan,None
Gaia DR3 5592786467309312384,110.9449796,-32.4874731,12.086,0.860,0.228,1.5744,13.7514,19.16,19.75,3.75,2.701,G5.6,nan,nan,0.884,nan,Gaia DR3
Gaia DR3 5604781177094910080,110.2549276,-32.0029185,19.749,2.718,2.235,1.9207,13.7816,19.38,nan,nan,2.676,M3.5,nan,nan,1.013,nan,None
Gaia DR3 5592502651566288896,111.9793533,-33.0430135,17.586,2.795,0.491,1.7462,13.8138,18.85,nan,nan,2.586,M3.7,nan,nan,1.038,nan,None
Gaia DR3 5591580985945753344,111.5608798,-34.3214524,19.757,2.960,3.757,1.2183,13.8651,18.74,nan,nan,2.718,M4.0,nan,nan,1.005,nan,None
Gaia DR3 5589759198257185792,111.2705971,-35.8172445,12.605,0.996,1.856,2.0989,14.0075,18.56,-3.03,6.89,2.651,K0.6,nan,nan,8.090,nan,Gaia DR3
Gaia DR3 5604889410271447296,110.1921571,-31.8247008,11.638,0.644,1.858,2.0977,14.0167,19.42,15.09,0.90,2.625,F6.1,nan,nan,1.033,nan,Gaia DR3
Gaia DR3 5603471383866875776,108.3005340,-32.5093618,17.360,2.780,0.339,2.1079,14.0394,19.71,nan,nan,2.627,M3.7,nan,nan,1.006,nan,None
Gaia DR3 5592389062573489792,111.6438542,-33.6341220,16.056,2.128,0.635,1.2582,14.0976,18.83,nan,nan,2.560,M1.2,nan,nan,0.951,nan,None
Gaia DR3 5603135032087404288,107.6971823,-33.4765805,17.150,2.637,4.406,2.1053,14.1535,19.67,nan,nan,2.621,M3.4,nan,nan,1.030,nan,None
Gaia DR3 5592850410783956096,110.9652933,-32.0477224,14.762,1.544,0.384,1.9896,14.1901,19.22,15.00,8.07,2.602,K5.4,nan,nan,1.049,nan,Gaia DR3
