target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,cluster,is_field_like,cluster_notes,field_notes,is_confirmed_cluster,reference_label,model_region
TOI-712,682,682,239,100,0.002113223966609055,8.55671737053201e-05,24.696666666666662,0.6994645558473043,0.6103396452994001,0.08912491054790417,0.872581234027017,0.9598393574297188,0.9090909090909091,0.872581234027017,ok,6.314187776941727,30_40,35.0,0.5,False,False,8,0.001909859317102744,58,0.0019780685784278424,173,0.0021737214595972023,343,0.0022131140059670315,100,0.0003913646141603984,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-712.csv,,False,,,False,unknown,robust_cluster_candidate
V1298_Tau,5236,5236,536,3120,0.004739280527625328,0.002669695819605987,1.775213675213675,0.62202356663095,0.6086802952335723,0.013343271397377787,0.9785486079415792,0.9816849816849816,0.9968051118210862,0.978548607941579,ok,1.7338820301783264,0_10,5.0,1.0,False,False,35,0.008355634512324505,188,0.006411670564559213,313,0.003932802409560256,498,0.0032132092564769146,744,0.0029117527293533643,1038,0.0027231235867481436,1338,0.0025151493762632596,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\V1298_Tau.csv,Taurus,False,,,True,cluster,robust_cluster_candidate
HAT-P-20,688,688,163,314,0.0014412364291099412,0.0002686809254347051,5.364118895966029,0.6542024243697573,0.5973629573269985,0.05683946704275877,0.913116391921787,0.9421965317919075,0.9691358024691358,0.913116391921787,ok,3.633721340388007,0_10,5.0,0.8333333333333334,False,False,9,0.002148591731740587,36,0.0012277667038517641,118,0.0014826539435402882,211,0.0013614199861779698,297,0.0011623529040563833,17,4.459836317410254e-05,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HAT-P-20.csv,,False,,,False,unknown,robust_cluster_candidate
K2-287,4367,4367,1086,2320,0.00960234823321102,0.0019851584299634263,4.837068965517241,0.5995800362194137,0.5915595896336022,0.00802044658581147,0.9866232260894083,0.9908759124087592,0.9957081545064378,0.9866232260894083,ok,3.8738866876629756,20_30,25.0,0.6666666666666666,True,False,10,0.00238732414637843,115,0.003922032526193136,961,0.012074834235103533,961,0.006200590553161274,572,0.0022386055929974787,743,0.00194921081402107,1005,0.0018891817063860807,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-287.csv,,False,,,False,unknown,diffuse_association_candidate|hollow_core
WASP-175,458,458,46,364,0.00040672929901262145,0.00031146451228736516,1.3058608058608057,0.7167401363373151,0.5730088255744845,0.14373131076283063,0.7994652406417112,0.8214285714285714,0.9732620320855615,0.7994652406417112,ok,1.3067241999280834,0_10,5.0,0.6666666666666666,False,False,10,0.00238732414637843,11,0.00037515093728803905,25,0.0003141215982076882,48,0.0003097069162869315,70,0.0002739552299122789,107,0.00028070734468405717,187,0.0003515193821832807,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-175.csv,,False,,,False,unknown,undersampled_high_raw
TOI-6448,6214,6214,868,4478,0.00767480503354251,0.003831698038524234,2.002977519726068,0.5794689631899325,0.571592642617418,0.007876320572514417,0.9864076920890537,0.9886104783599089,0.9977718360071302,0.9864076920890535,ok,1.9002646492358428,10_20,15.0,0.8333333333333334,False,False,31,0.007400704853773133,302,0.0102995984600898,535,0.0067222022016445275,868,0.005600533402855345,1294,0.005064258107235555,1444,0.003788237436670828,1740,0.003270822058817692,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6448.csv,Vela,False,,,True,cluster,diffuse_association_candidate
K2-237,15697,15697,2347,10916,0.020752036190926578,0.009340512681672741,2.2217234640283374,0.5663539102287831,0.5634348959526742,0.0029190142761089666,0.9948459536989339,0.9957573186253712,0.9990847519677832,0.9948459536989339,ok,2.0575724788458873,20_30,25.0,0.5,False,False,69,0.01647253661001117,596,0.020326359874879206,1682,0.02113410112741326,2434,0.015704721546716486,2790,0.010919072735075116,3307,0.00867569335392689,4819,0.009058673276691067,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-237.csv,,False,,,False,unknown,diffuse_association_candidate
TOI-2322,439,439,156,60,0.0013793428401297598,5.1340304223192055e-05,26.866666666666664,0.6973088078452412,0.5616876455620875,0.13562116228315368,0.8055077452667814,0.9397590361445783,0.8571428571428571,0.8055077452667814,ok,6.451511582253632,10_20,15.0,0.6666666666666666,False,False,4,0.000954929658551372,46,0.0015688130104772541,106,0.001331875576400598,223,0.0014388467152497027,60,0.00023481876849623903,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-2322.csv,,False,,,False,unknown,robust_cluster_candidate
HD_108236,756,756,194,275,0.0017153366088793166,0.00023530972768963024,7.289696969696969,0.6094935229297156,0.5592789722789874,0.05021455065072822,0.9176126590987271,0.9509803921568627,0.9649122807017544,0.9176126590987271,ok,4.040068538289178,10_20,15.0,0.6666666666666666,False,False,4,0.000954929658551372,57,0.0019439639477652933,133,0.0016711269024649012,287,0.0018517892702989446,275,0.0010762526889410956,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_108236.csv,,False,,,False,unknown,robust_cluster_candidate
TOI-1898,1083,1083,214,618,0.001892175434536978,0.0005288051334988782,3.5782092772384027,0.5877360395705051,0.5525567753730554,0.03517926419744977,0.940144449499545,0.9553571428571429,0.9840764331210191,0.9401444494995451,ok,2.8821548821548824,10_20,15.0,0.8333333333333334,False,False,5,0.001193662073189215,65,0.0022168009930656853,144,0.001809340405676284,251,0.001619509083083746,326,0.0012758486421628988,292,0.0007660424733434084,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1898.csv,,False,,,False,unknown,diffuse_association_candidate
