target,gaia_dr3_id,notes
HD 17156,5.4556086779061114e+17,"notes:
substellar companion
hd 17156b
detected, see
hd 17156
in the
extrasolar planets encyclopaedia
.
another but unconfirmed planet detected, hd 17156c, see
hd 17156
in the
extrasolar planets encyclopaedia
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%"
TOI-4641,1.1434065800987507e+17,none
HAT-P-52,1.2862348585317043e+17,none
HR 858,5.064574724769476e+18,none
HR 858,5.064574724769476e+18,none
HR 858,5.064574724769476e+18,none
TOI-2445,2.4981409314181724e+18,none
TOI-1736,5.4172518711716096e+17,none
WASP-50,5.160557726183066e+18,"notes:
substellar companion
wasp-50b
detected, see also
wasp-50
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
TOI-4184,4.620574887039871e+18,none
TOI-2345,5.049575943053752e+18,none
TOI-2345,5.049575943053752e+18,none
HD 18599,4.728513943538448e+18,none
LHS 1478,5.4900729128270496e+17,none
TOI-1648,5.409772829901338e+17,none
LTT 1445 A,5.153091836072107e+18,none
LTT 1445 A,5.153091836072107e+18,none
TOI-1669,5.6967302464554246e+17,none
TOI-6041,4.325498715295886e+17,none
NGTS-20,5.078704372599743e+18,none
TOI-6303,2.3905015305149427e+17,none
TOI-559,5.057924844082071e+18,none
WASP-11,1.2337668508430336e+17,"notes:
substellar companion detected,
hat-p-10b
or
wasp-11b
, see
wasp-11/hat-p-10
in the
extrasolar planets encyclopaedia
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will o"
TOI-5678,5.048310370810634e+18,none
TOI-257,4.747624104168195e+18,none
TOI-3261,4.640654168385887e+18,none
HAT-P-25,1.1132260167241971e+17,"notes:
substellar companion
hat-p-25b
detected, see also
hat-p-25
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links"
HD 20329,3.039864894551296e+16,none
TOI-406,4.851053999056604e+18,none
TOI-406,4.851053999056604e+18,none
WASP-139,4.851398799032508e+18,none
TOI-2407,4.84700130227742e+18,none
TOI-6109,2.41035596174886e+17,none
TOI-6109,2.41035596174886e+17,none
TOI-3682,1.1719035163129715e+17,none
TOI-5076,5.575221885104832e+16,none
TOI-2202,4.641274773980364e+18,none
K2-86,5.599479860487322e+16,none
HD 21520,4.847732649308332e+18,none
TOI-6038 A,2.3764040734634077e+17,none
GJ 143,4.673947174316727e+18,"notes:
there are two gsc designations due to the large proper motion.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links (may be more than one) from that obje"
GJ 143,4.673947174316727e+18,"notes:
there are two gsc designations due to the large proper motion.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links (may be more than one) from that obje"
TOI-2427,5.055663973297051e+18,none
K2-30,6.160725570876096e+16,none
K2-175,5.50775997496055e+16,none
WASP-22,5.086537022856406e+18,"notes:
substellar companion
wasp-22b
detected, see also
wasp-22
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
K2-178,6.162457301692582e+16,none
TOI-908,4.619238087059207e+18,none
BD+20 594,5.820093432631514e+16,none
TOI-2537,1.2320268307415552e+16,none
K2-88,5.698370623493133e+16,none
HD 22946,4.848767461548943e+18,none
HD 22946,4.848767461548943e+18,none
HD 22946,4.848767461548943e+18,none
K2-77,3.761972592209434e+16,none
K2-177,6.34168e+16,none
K2-79,3.812701309925888e+16,none
HD 23472,4.674216245427965e+18,none
HD 23472,4.674216245427965e+18,none
HD 23472,4.674216245427965e+18,none
HD 23472,4.674216245427965e+18,none
HD 23472,4.674216245427965e+18,none
K2-84,4.406234866467315e+16,none
K2-84,4.406234866467315e+16,none
WASP-119,4.672607178880426e+18,none
TOI-6054,4.7414319382102426e+17,none
TOI-6054,4.7414319382102426e+17,none
TOI-1634,2.2315849917913843e+17,none
K2-89,6.320611741411085e+16,none
TOI-2416,4.68052799192752e+18,none
K2-81,3.973865662750106e+16,none
TIC 279401253,5.110565749968528e+18,none
K2-411,5.088447471801741e+16,none
NGTS-16,4.886825544715697e+18,none
