target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,_norm,st_age,st_ageerr1,st_ageerr2,age,age_err,frac_err,no_age,bad_age,terrible_age,priority
K2-343,941,941,98,737,0.0008665102457225,0.0006306300702082,1.374038896426956,0.5909853332352604,0.5290855604919668,0.0618997727432936,0.8952600525559025,0.9074074074074074,0.9866131191432396,0.8952600525559026,ok,1.3605729098018542,0_10,5.0,0.6666666666666666,False,False,9,0.0021485917317405,21,0.0007161972439135,68,0.0008544107471249,106,0.0006839361068003,156,0.0006105287980902,252,0.0006611051482278,329,0.0006184485387074,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-343.csv,k2-343,,,,,,,True,False,False,True
TOI-257,536,536,94,321,0.000831142480591,0.000274670627594,3.025960539979231,0.5889056222343643,0.5161991124012232,0.072706509833141,0.8765396235184755,0.903846153846154,0.9697885196374624,0.8765396235184755,ok,2.489022959611195,10_20,15.0,0.6666666666666666,False,False,4,0.0009549296585513,28,0.0009549296585513,62,0.000779021563555,121,0.0007807195181399,197,0.0007709882898959,124,0.0003253057078581,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-257.csv,toi-257,,,,,,,True,False,False,True
TOI-5704,609,609,86,453,0.0007604069503279,0.0003876192968851,1.961736571008094,0.584283665476791,0.5121157991280784,0.0721678663487126,0.8764848812095034,0.8958333333333334,0.978401727861771,0.8764848812095033,ok,1.924509595637703,0_10,5.0,0.5,False,False,4,0.0009549296585513,22,0.000750301874576,60,0.0007538918356984,70,0.0004516559195851,142,0.0005557377521077,212,0.0005561678231123,99,0.0001860984964499,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-5704.csv,toi-5704,,,,,,,True,False,False,True
TOI-3353,2522,2522,403,1570,0.0035633023370018,0.0013434046271735,2.65244161358811,0.5221214635287484,0.5062547448267913,0.0158667187019571,0.9696110583259264,0.9757869249394672,0.9936708860759492,0.9696110583259264,ok,2.225857759600091,10_20,15.0,0.6666666666666666,False,False,9,0.0021485917317405,117,0.0039902417875182,277,0.0034804673081411,549,0.0035422728550317,886,0.0034674904814611,684,0.0017944282594756,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-3353.csv,toi-3353,,,,,,,True,False,False,True
KELT-3,1321,1321,134,1071,0.0011848201319063,0.0009164244303839,1.2928727046374104,0.5449196940222798,0.5023872248426963,0.0425324691795835,0.9219472710453284,0.9305555555555556,0.9907493061979648,0.9219472710453284,ok,1.3212268713532402,0_10,5.0,0.3333333333333333,False,False,8,0.0019098593171027,31,0.001057243550539,95,0.0011936620731892,116,0.0007484583810267,223,0.0008727430895776,349,0.000915578161633,499,0.0009380116134195,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\KELT-3.csv,kelt-3,,,,,,,True,False,False,True
K2-400,315,315,93,92,0.0008223005393081,7.872179980889448e-05,10.445652173913045,0.6132420460361994,0.4994192790677443,0.113822766968455,0.8143917761279269,0.9029126213592232,0.9019607843137256,0.8143917761279269,ok,4.902902902902904,20_30,25.0,0.8333333333333334,True,False,2,0.0004774648292756,13,0.0004433601986131,78,0.0009800593864079,130,0.0008387895649437,92,0.0003600554450275,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-400.csv,k2-400,,,,,,,True,False,False,True
WASP-101,1756,1756,146,1429,0.0012909234273009,0.001222754912249,1.0557499416841614,0.5231098845340251,0.4861749953220353,0.0369348892119897,0.929393631617398,0.935897435897436,0.9930507296733844,0.929393631617398,ok,1.0613296526340006,0_10,5.0,0.3333333333333333,False,False,11,0.0026260565610162,45,0.0015347083798147,90,0.0011308377535476,181,0.0011678531634986,308,0.001205403011614,462,0.0012120261050844,659,0.0012387768602073,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-101.csv,wasp-101,,,,,,,True,False,False,True
TOI-672,187,187,54,67,0.0004774648292756,5.733000638256446e-05,8.328358208955223,0.6599692733730471,0.4845310127970138,0.1754382605760333,0.7341720779220778,0.84375,0.8701298701298701,0.7341720779220778,ok,4.7518796992481205,10_20,15.0,0.6666666666666666,False,False,1,0.0002387324146378,20,0.0006820926132509,33,0.0004146405096341,66,0.0004258470098945,67,0.0002622142914874,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-672.csv,toi-672,,,,,,,True,False,False,True
K2-229,1323,1323,141,1018,0.0012467137208865,0.0008710738283201,1.431237721021611,0.5212619773600766,0.4820064788975615,0.039255498462515,0.9246914216507331,0.933774834437086,0.990272373540856,0.9246914216507331,ok,1.3961270915585635,0_10,5.0,0.6666666666666666,False,False,7,0.0016711269024649,35,0.0011936620731892,99,0.0012439215289024,164,0.0010581652973136,275,0.001076252688941,326,0.0008552391996916,417,0.0007838694244407,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-229.csv,k2-229,,,,,,,True,False,False,True
K2-229,1323,1323,141,1018,0.0012467137208865,0.0008710738283201,1.431237721021611,0.5212619773600766,0.4820064788975615,0.039255498462515,0.9246914216507331,0.933774834437086,0.990272373540856,0.9246914216507331,ok,1.3961270915585635,0_10,5.0,0.6666666666666666,False,False,7,0.0016711269024649,35,0.0011936620731892,99,0.0012439215289024,164,0.0010581652973136,275,0.001076252688941,326,0.0008552391996916,417,0.0007838694244407,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-229.csv,k2-229,,,,,,,True,False,False,True
