GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5590576925670333056 108.6275507 -34.9207025 17.739  2.783       2.907   1.6175  23.6952    19.25      nan      nan    2.498  nan      nan    nan   1.083     nan                                None      -7.301       5.101      -6.177       0.085       6.141       0.096
Gaia DR3 5588212945613765376 112.7461469 -35.7507279 17.705  2.952       2.461   2.7949  23.6972    18.25      nan      nan    2.747  nan      nan    nan   1.066     nan                                None      -8.895       5.415      -7.555       0.078       4.927       0.083
Gaia DR3 5590019168338598912 111.3691416 -34.7762754 17.921  2.909       1.208   1.3072  23.7149    18.71      nan      nan    2.800  nan      nan    nan   1.004     nan                                None      -8.776       5.458      -8.944       0.093       4.764       0.101
Gaia DR3 5591327789034851968 112.5402318 -34.8053614 19.823  2.832       2.744   2.1462  23.7246    18.45      nan      nan    2.778  nan      nan    nan   1.094     nan                                None      -8.951       5.316      -9.976       0.329       6.554       0.421
Gaia DR3 5593063681680333440 113.2808996 -31.6895030 12.764  0.826       2.042   3.4378  23.7378    18.75      nan      nan    2.595  nan      nan    nan   0.968     nan                                None      -8.504       4.352      -8.631       0.010       3.243       0.011
Gaia DR3 5592948198591206784 112.7960523 -32.2772018 11.678  0.639       1.044   2.7465  23.7455    18.78      nan      nan    2.537  nan      nan    nan   0.997     nan                                None      -8.224       4.396      -7.805       0.012       4.764       0.013
Gaia DR3 5566145777299891584 107.6669210 -36.8513646 11.405  0.737       1.653   3.5697  23.7654    19.10      nan      nan    2.660  nan      nan    nan   0.866     nan                                None      -7.573       5.870      -6.676       0.014       6.103       0.015
Gaia DR3 5588168617251759744 113.6991207 -35.7441522 11.209  0.597       0.513   3.4214  23.7709    18.05      nan      nan    2.693  nan      nan    nan   1.007     nan                                None      -8.909       5.221      -8.783       0.014       4.958       0.017
Gaia DR3 5603380360619288576 107.6799402 -32.8067924 19.705  2.591       2.087   2.3602  23.7962    19.78      nan      nan    2.519  nan      nan    nan   1.053     nan                                None      -7.174       4.829      -6.084       0.282       5.027       0.301
Gaia DR3 5604872604058030464 110.3860731 -31.9340036 17.765  2.921       0.995   1.9965  23.8320    19.36      nan      nan    2.507  nan      nan    nan   1.014     nan                                None      -7.669       4.460      -7.891       0.090       4.937       0.101
Gaia DR3 5605915770015322880 108.5121131 -30.6076492 17.497  2.828       0.883   3.5989  23.8720    19.95      nan      nan    2.654  nan      nan    nan   1.050     nan                                None      -7.732       4.601      -7.843       0.075       5.083       0.081
Gaia DR3 5586507328199028352 111.5453842 -37.3478372 12.981  1.072       0.644   3.6030  23.8801    18.24      nan      nan    2.652  nan      nan    nan   2.223     nan                                None      -8.347       5.618      -8.698       0.030       5.537       0.037
Gaia DR3 5589124578185453824 110.5384304 -37.4452542 19.205    nan       2.307   3.5356  23.9276    18.43      nan      nan    2.677  nan      nan    nan   1.512     nan                                None      -8.221       5.778      -7.082       0.456       5.147       0.504
Gaia DR3 5591582772651841152 111.7665332 -34.2044587 11.016  0.636       1.661   1.3520  23.9539    18.71      nan      nan    2.801  nan      nan    nan   0.940     nan                                None      -8.864       5.315      -8.422       0.013       4.440       0.014
Gaia DR3 5592015812733527424 114.0166607 -32.8120469 18.367  2.321       1.014   3.3984  23.9599    18.42      nan      nan    2.700  nan      nan    nan   1.055     nan                                None      -8.997       4.676      -8.845       0.139       4.119       0.148
Gaia DR3 5586625903656340864 113.1045176 -36.3350666 17.084  2.879       1.128   3.4025  23.9727    18.08      nan      nan    2.700  nan      nan    nan   1.659     nan                                None      -8.814       5.395      -8.238       0.091       5.112       0.102
Gaia DR3 5589085545526128384 109.9554098 -37.4936238 11.720  0.699       0.900   3.5756  24.0065    18.54      nan      nan    2.613  nan      nan    nan   0.938     nan                                None      -7.907       5.698      -8.210       0.011       6.091       0.013
Gaia DR3 5591691211990156544 112.9459405 -33.4843660 17.711  3.118       1.510   2.3501  24.0120    18.57      nan      nan    2.517  nan      nan    nan   1.076     nan                                None      -8.188       4.559      -8.758       0.113       3.996       0.118
Gaia DR3 5590181449381287296 107.7646261 -36.5464359 11.393  0.643       2.508   3.2780  24.0166    19.13      nan      nan    2.571  nan      nan    nan   1.031     nan                                None      -7.338       5.610      -5.979       0.016       5.615       0.021
Gaia DR3 5604915386225549568 110.9424175 -31.4700790 18.290    nan       1.322   2.5368  24.0565    19.30      nan      nan    2.524  nan      nan    nan   1.062     nan                                None      -7.829       4.368      -7.594       0.132       5.031       0.132
Gaia DR3 5588379070644636800 114.0764646 -34.6788157 12.774  0.917       0.190   3.3140  24.0659    18.13      nan      nan    2.574  nan      nan    nan   1.430     nan                                None      -8.586       4.775      -8.689       0.016       4.781       0.021
Gaia DR3 5591774259475520256 112.4475278 -33.0881470 16.931  2.771       1.511   2.0738  24.1206    18.74      nan      nan    2.784  nan      nan    nan   1.212     nan                                None      -8.952       5.009      -8.150       0.060       4.630       0.068
Gaia DR3 5588345471124997248 113.8633719 -34.9558324 18.243  3.019       0.336   3.2160  24.1521    18.13      nan      nan    2.563  nan      nan    nan   1.012     nan                                None      -8.512       4.821      -8.558       0.121       4.646       0.129
Gaia DR3 5586484783909586816 112.2853629 -37.1213068 18.515  3.062       1.672   3.6324  24.1678    18.12      nan      nan    2.624  nan      nan    nan   0.985     nan                                None      -8.405       5.453      -8.515       0.133       4.535       0.141
Gaia DR3 5591427951973671424 113.5532177 -34.0164021 16.858  2.842       2.356   2.8069  24.1730    18.35      nan      nan    2.752  nan      nan    nan   0.962     nan                                None      -9.076       5.031     -10.356       0.053       4.551       0.061
Gaia DR3 5592485402986867712 111.0727018 -32.8262604 18.784  3.338       0.434   1.3301  24.1987    19.08      nan      nan    2.804  nan      nan    nan   0.977     nan                                None      -8.724       5.110      -8.522       0.160       5.267       0.182
Gaia DR3 5587945523770325504 113.5810673 -36.1364233 10.760  0.417       0.864   3.5636  24.2350    18.01      nan      nan    2.603  nan      nan    nan   0.840     nan                                None      -8.589       5.125      -8.476       0.011       4.665       0.013
Gaia DR3 5603239588769729792 109.1446990 -32.7872213 18.992  2.824       2.839   1.4221  24.2864    19.49      nan      nan    2.803  nan      nan    nan   1.039     nan                                None      -8.304       5.255      -6.754       0.201       5.896       0.236
Gaia DR3 5588400408048886144 113.8510039 -34.4284188 18.777  3.496       1.342   3.0866  24.3181    18.22      nan      nan    2.551  nan      nan    nan   0.961     nan                                None      -8.470       4.710      -9.110       0.159       4.376       0.183
Gaia DR3 5604295089867491328 106.6701011 -31.7451315 19.391  2.380       0.852   3.6589  24.3326    20.15      nan      nan    2.625  nan      nan    nan   1.091     nan                                None      -7.262       4.895      -7.323       0.271       5.362       0.325
Gaia DR3 5604851266662362112 109.9113757 -31.6758060 18.694  3.511       0.882   2.2570  24.3669    19.50      nan      nan    2.511  nan      nan    nan   0.938     nan                                None      -7.589       4.454      -8.055       0.149       4.491       0.187
Gaia DR3 5605060620544711808 109.4542379 -31.3657915 17.731  2.931       0.450   2.6267  24.3862    19.64      nan      nan    2.764  nan      nan    nan   1.033     nan                                None      -8.256       4.876      -8.101       0.092       5.087       0.103
Gaia DR3 5590977633239816064 109.3053652 -34.4292405 10.994  0.545       0.729   0.8770  24.5056    19.20      nan      nan    2.813  nan      nan    nan   0.867     nan                                None      -8.371       5.591      -8.752       0.012       5.386       0.015
Gaia DR3 5586133008914132352 111.2745468 -37.4849366 19.660  2.845       2.493   3.6736  24.5129    18.27      nan      nan    2.665  nan      nan    nan   2.050     nan                                None      -8.332       5.693      -9.688       0.525       6.042       0.570
Gaia DR3 5586477297787400192 112.1503162 -37.2555690 14.665  1.577       0.630   3.7015  24.5407    18.13      nan      nan    2.631  nan      nan    nan   0.971     nan                                None      -8.400       5.503      -8.222       0.018       5.202       0.019
Gaia DR3 5566139390687466752 107.5665130 -36.9360910 15.997  2.008       1.621   3.6853  24.6170    19.10      nan      nan    2.618  nan      nan    nan   1.271     nan                                None      -7.432       5.801      -7.336       0.042       6.691       0.049
Gaia DR3 5590492950470925312 107.8632987 -35.2508876 18.378  2.921       1.872   2.3178  24.6767    19.34      nan      nan    2.511  nan      nan    nan   1.017     nan                                None      -7.185       5.241      -6.303       0.125       4.790       0.147
Gaia DR3 5586590135169192064 112.6899582 -36.7622650 14.769  1.420       2.865   3.5053  24.6908    18.10      nan      nan    2.584  nan      nan    nan   1.031     nan                                None      -8.354       5.272      -6.822       0.018       5.564       0.023
Gaia DR3 5592386515654987520 111.3679555 -33.6255228 18.696  3.211       2.139   1.0387  24.7056    18.89      nan      nan    2.482  nan      nan    nan   1.037     nan                                None      -7.778       4.639      -6.971       0.162       5.415       0.195
Gaia DR3 5592857725105309440 110.6569238 -32.0918536 19.532  3.044       2.459   1.8754  24.7171    19.28      nan      nan    2.497  nan      nan    nan   1.024     nan                                None      -7.691       4.451      -8.983       0.270       4.375       0.315
Gaia DR3 5578761711158702080 105.8480861 -34.7198110 19.751  2.670       2.099   3.6574  24.7663    19.81      nan      nan    2.606  nan      nan    nan   1.086     nan                                None      -7.037       5.486      -8.188       0.332       5.437       0.403
Gaia DR3 5578540404380300416 105.9375147 -35.2970886 10.452  0.541       1.818   3.7449  24.7742    19.70      nan      nan    2.640  nan      nan    nan   1.946     nan                                None      -7.149       5.663      -7.863       0.027       6.379       0.031
Gaia DR3 5587926243658122752 113.5637981 -36.4220551 19.936  2.678       2.699   3.7335  24.7747    17.97      nan      nan    2.656  nan      nan    nan   1.072     nan                                None      -8.760       5.281      -7.767       0.518       4.143       0.501
Gaia DR3 5588764415112413184 114.2845243 -34.2848537 18.854  3.073       1.227   3.4256  24.7878    18.14      nan      nan    2.713  nan      nan    nan   1.017     nan                                None      -9.093       4.944      -8.779       0.182       4.316       0.198
Gaia DR3 5593432529168887808 111.9888635 -30.5298235 17.739  2.888       0.498   3.7248  24.7935    19.20      nan      nan    2.662  nan      nan    nan   0.982     nan                                None      -8.466       4.349      -8.667       0.094       4.544       0.090
Gaia DR3 5593358625663479808 112.5921216 -30.9342538 20.038  2.384       2.278   3.6200  24.8679    19.01      nan      nan    2.596  nan      nan    nan   0.993     nan                                None      -8.375       4.271      -9.074       0.402       3.238       0.448
Gaia DR3 5589786239370323584 112.0132985 -35.3770779 18.479  3.037       2.988   2.1010  24.9176    18.47      nan      nan    2.502  nan      nan    nan   1.019     nan                                None      -7.963       4.928      -6.388       0.135       4.995       0.169
Gaia DR3 5566390968395241728 106.7471065 -36.4345308 19.877  2.891       2.301   3.7599  24.9431    19.34      nan      nan    2.629  nan      nan    nan   1.069     nan                                None      -7.291       5.794      -7.140       0.420       7.061       0.437
Gaia DR3 5604409125547294208 107.1523766 -31.2369373 19.114  3.292       1.941   3.6981  24.9761    20.13      nan      nan    2.607  nan      nan    nan   1.043     nan                                None      -7.315       4.732      -7.633       0.183       5.751       0.205
Gaia DR3 5588086772351425280 114.1820945 -35.4069894 19.667  2.883       1.831   3.6178  24.9940    17.99      nan      nan    2.693  nan      nan    nan   0.967     nan                                None      -9.005       5.117      -8.031       0.319       4.757       0.378
Gaia DR3 5604950948564340864 110.1768350 -31.4750353 17.309  2.727       0.946   2.4473  25.1336    19.47      nan      nan    2.512  nan      nan    nan   1.010     nan                                None      -7.642       4.400      -7.356       0.068       4.811       0.075
Gaia DR3 5605583781925459584 110.5875103 -30.4429985 20.229  2.796       0.434   3.4972  25.1342    19.53      nan      nan    2.575  nan      nan    nan   1.028     nan                                None      -7.916       4.291      -7.687       0.430       4.347       0.454
Gaia DR3 5605181257584897280 109.8586364 -30.8628713 18.144  3.022       0.716   3.0708  25.1694    19.63      nan      nan    2.541  nan      nan    nan   1.036     nan                                None      -7.668       4.362      -7.779       0.105       4.729       0.126
Gaia DR3 5591919021356241664 113.8866028 -32.9716870 12.494  0.808       1.054   3.2430  25.2199    18.43      nan      nan    2.737  nan      nan    nan   0.965     nan                                None      -9.092       4.779      -9.658       0.009       4.558       0.012
Gaia DR3 5605162119214986880 109.8033988 -31.1328746 17.640  2.768       0.869   2.8066  25.2428    19.60      nan      nan    2.526  nan      nan    nan   0.997     nan                                None      -7.612       4.389      -7.627       0.077       4.851       0.088
Gaia DR3 5588058429870979840 114.1898049 -35.8473984 13.676  1.162       1.586   3.8175  25.2798    17.92      nan      nan    2.651  nan      nan    nan   0.909     nan                                None      -8.865       5.113      -9.307       0.013       4.345       0.014
Gaia DR3 5605217339605629568 110.0819407 -30.4920364 17.685  2.607       0.722   3.4311  25.2867    19.63      nan      nan    2.721  nan      nan    nan   0.993     nan                                None      -8.261       4.582      -7.847       0.076       4.575       0.098
Gaia DR3 5586416377971834752 113.0226855 -36.9403304 10.441  0.331       1.011   3.8087  25.3179    18.00      nan      nan    2.625  nan      nan    nan   0.894     nan                                None      -8.553       5.358      -8.420       0.013       4.815       0.014
Gaia DR3 5605274308052238464 109.8098311 -30.2527986 18.343  3.066       0.704   3.6822  25.3332    19.72      nan      nan    2.691  nan      nan    nan   1.057     nan                                None      -8.113       4.505      -7.859       0.127       4.813       0.162
Gaia DR3 5588703564013957504 114.4217721 -34.7262698 18.281  3.153       0.873   3.6016  25.3795    18.04      nan      nan    2.582  nan      nan    nan   1.073     nan                                None      -8.680       4.769      -9.080       0.121       4.512       0.139
Gaia DR3 5605446858368693248 111.9073278 -30.3708076 19.771  2.873       1.364   3.8438  25.4258    19.24      nan      nan    2.643  nan      nan    nan   0.984     nan                                None      -8.391       4.295      -9.116       0.273       4.068       0.320
Gaia DR3 5602803774148190080 106.6763934 -34.3428133 16.246  2.328       0.800   2.9224  25.4473    19.73      nan      nan    2.530  nan      nan    nan   1.014     nan                                None      -7.000       5.199      -6.993       0.039       5.626       0.042
Gaia DR3 5586660675709343616 112.3066469 -36.3738401 20.442  2.346       2.025   3.0099  25.4616    18.25      nan      nan    2.756  nan      nan    nan   1.008     nan                                None      -8.831       5.587     -10.008       0.503       5.589       0.709
Gaia DR3 5586414380808503808 113.3690810 -36.7589545 17.688  3.162       2.456   3.8536  25.5162    17.95      nan      nan    2.650  nan      nan    nan   1.082     nan                                None      -8.704       5.347      -7.334       0.083       5.284       0.086
Gaia DR3 5588186656115177472 113.6749778 -35.5544832 16.940  2.595       1.000   3.3099  25.5598    18.08      nan      nan    2.552  nan      nan    nan   1.021     nan                                None      -8.439       4.918      -7.908       0.054       4.830       0.056
Gaia DR3 5566360323804844928 107.3820081 -36.3175702  9.985  1.390       2.731   3.3071  25.5608    19.25      nan      nan    2.552  nan      nan    nan   0.944     nan                                None      -7.206       5.556      -6.419       0.011       6.797       0.011
Gaia DR3 5592820586530355456 111.3272384 -32.1843422 14.732  1.473       0.751   1.9901  25.5632    19.12      nan      nan    2.494  nan      nan    nan   1.101     nan                                None      -7.808       4.414      -8.198       0.018       4.481       0.020
Gaia DR3 5605579353819216768 110.3679100 -30.4994636 18.347  3.123       0.720   3.4269  25.5635    19.57      nan      nan    2.726  nan      nan    nan   0.969     nan                                None      -8.336       4.571      -7.938       0.120       4.459       0.140
Gaia DR3 5593416723685787904 112.3633100 -30.5931370 10.332  0.494       0.314   3.8105  25.6384    19.11      nan      nan    2.610  nan      nan    nan  21.576     nan                                None      -8.376       4.249      -8.223       0.303       4.330       0.368
Gaia DR3 5588135876719554176 113.4650589 -35.9691399 16.533  2.405       0.699   3.3882  25.6502    18.06      nan      nan    2.557  nan      nan    nan   1.047     nan                                None      -8.415       5.016      -8.443       0.048       4.640       0.059
Gaia DR3 5588382132966239104 114.1605602 -34.5185436 16.392  2.329       0.771   3.3526  25.6619    18.13      nan      nan    2.734  nan      nan    nan   1.081     nan                                None      -9.139       5.036      -9.574       0.040       5.128       0.052
Gaia DR3 5605442773860177152 112.0070092 -30.4634439 17.321  2.967       1.598   3.7918  25.6782    19.21      nan      nan    2.681  nan      nan    nan   1.030     nan                                None      -8.533       4.367      -9.282       0.060       4.872       0.071
Gaia DR3 5588162058840780800 113.6328608 -35.8169081 11.883  0.724       2.047   3.4142  25.6848    18.05      nan      nan    2.729  nan      nan    nan   0.802     nan                                None      -9.017       5.311      -9.700       0.010       4.352       0.011
Gaia DR3 5591821783295522048 114.1597224 -33.7252915 18.534  2.943       2.099   3.3198  25.7066    18.25      nan      nan    2.738  nan      nan    nan   1.036     nan                                None      -9.150       4.897      -7.942       0.137       4.802       0.165
Gaia DR3 5578746700249636096 105.6776269 -35.0612823 18.672  3.174       1.475   3.8738  25.7126    19.79      nan      nan    2.628  nan      nan    nan   1.065     nan                                None      -7.060       5.610      -7.817       0.164       5.302       0.169
Gaia DR3 5603277453205823616 108.4482116 -32.7122085 19.108  3.251       0.176   1.8802  25.7172    19.64      nan      nan    2.804  nan      nan    nan   1.027     nan                                None      -8.156       5.297      -8.092       0.197       5.216       0.253
Gaia DR3 5603393417326386304 107.3003702 -33.0779244 18.550  3.032       2.186   2.5378  25.7225    19.81      nan      nan    2.782  nan      nan    nan   0.984     nan                                None      -7.838       5.416      -6.780       0.129       6.139       0.155
Gaia DR3 5587933566581112192 113.4626323 -36.3383655  5.382 -0.102       2.644   3.6171  25.7602    18.00      nan      nan    2.577  nan      nan    nan   1.045     nan                                None      -8.481       5.118      -7.398       0.066       6.062       0.076
Gaia DR3 5605424391401309312 110.9021977 -30.2129250 15.538  1.828       0.826   3.7608  25.7760    19.49      nan      nan    2.690  nan      nan    nan   1.093     nan                                None      -8.336       4.416      -8.747       0.023       4.640       0.026
Gaia DR3 5593128346703875968 113.0691820 -31.4872456 19.905  2.924       2.002   3.4463  25.7965    18.83      nan      nan    2.728  nan      nan    nan   1.077     nan                                None      -8.899       4.556      -8.146       0.325       3.684       0.384
Gaia DR3 5593313545699352960 111.5911808 -31.1516982 16.246  2.524       1.784   3.0183  25.8209    19.21      nan      nan    2.759  nan      nan    nan   1.201     nan                                None      -8.695       4.662      -9.356       0.066       5.461       0.078
Gaia DR3 5589457764572291712 110.0524985 -36.1780975 17.222  2.914       2.113   2.2578  25.8402    18.75      nan      nan    2.500  nan      nan    nan   1.041     nan                                None      -7.582       5.216      -6.473       0.060       5.318       0.066
Gaia DR3 5591921112994292224 113.9733610 -32.9023210 18.340  3.026       1.045   3.3340  25.8872    18.42      nan      nan    2.550  nan      nan    nan   0.998     nan                                None      -8.487       4.434      -9.048       0.111       4.473       0.123
Gaia DR3 5605312962757708928 110.9960682 -31.0609085 18.504  3.060       0.934   2.9449  25.8955    19.35      nan      nan    2.526  nan      nan    nan   1.034     nan                                None      -7.846       4.294      -7.577       0.134       4.712       0.157
Gaia DR3 5587961256230493824 113.9893291 -36.0570309 17.725  2.994       0.608   3.7870  25.9059    17.93      nan      nan    2.689  nan      nan    nan   0.959     nan                                None      -8.955       5.243      -8.934       0.083       4.899       0.091
Gaia DR3 5588714730929882112 114.6923991 -34.4346743 19.196  3.340       1.821   3.7756  25.9134    18.03      nan      nan    2.691  nan      nan    nan   1.051     nan                                None      -9.100       4.894      -8.281       0.201       4.265       0.219
Gaia DR3 5592845664839520384 110.7381078 -32.1652168 19.204  3.293       1.500   1.8204  25.9190    19.25      nan      nan    2.487  nan      nan    nan   1.034     nan                                None      -7.676       4.441      -7.469       0.246       5.200       0.310
Gaia DR3 5604928889611727872 110.4578639 -31.4028800 16.650  2.839       0.731   2.5310  25.9968    19.42      nan      nan    2.508  nan      nan    nan   1.037     nan                                None      -7.684       4.361      -7.728       0.047       4.745       0.054
Gaia DR3 5588389893968164480 113.7776994 -34.6234016 19.801  3.241       2.524   3.0621  26.0255    18.21      nan      nan    2.759  nan      nan    nan   1.067     nan                                None      -9.145       5.136     -10.452       0.320       4.467       0.372
Gaia DR3 5592566010928046208 111.6133063 -32.8876220 19.443  3.129       1.431   1.5879  26.0735    18.95      nan      nan    2.481  nan      nan    nan   1.023     nan                                None      -7.823       4.493      -8.320       0.244       5.053       0.289
Gaia DR3 5604855080592114048 109.6014803 -31.8131248 18.931  3.230       0.029   2.1626  26.0971    19.54      nan      nan    2.800  nan      nan    nan   0.960     nan                                None      -8.394       5.018      -8.391       0.178       5.035       0.200
Gaia DR3 5591712862924350976 112.1315197 -33.7690314 12.924  0.872       0.937   1.6360  26.0990    18.70      nan      nan    2.482  nan      nan    nan   1.010     nan                                None      -7.922       4.607      -8.311       0.013       4.307       0.016
Gaia DR3 5592886110541705216 111.1731617 -31.7829636 10.822    nan       1.132   2.2992  26.1169    19.21      nan      nan    2.499  nan      nan    nan   2.019     nan                                None      -7.794       4.362      -7.532       0.323       3.826       0.107
Gaia DR3 5592233825267784320 113.9650344 -32.2838286 18.616  3.239       1.499   3.5758  26.1708    18.51      nan      nan    2.722  nan      nan    nan   1.025     nan                                None      -9.060       4.620      -9.874       0.142       4.344       0.154
Gaia DR3 5588052515692352640 114.2844584 -36.0030937 18.585  3.458       0.194   3.9614  26.2242    17.87      nan      nan    2.635  nan      nan    nan   0.951     nan                                None      -8.832       5.102      -8.779       0.142       5.008       0.149
Gaia DR3 5588725657328980352 114.8723998 -34.4445758 19.305  3.222       1.571   3.9242  26.2340    17.98      nan      nan    2.670  nan      nan    nan   1.063     nan                                None      -9.061       4.840      -8.347       0.241       4.320       0.238
Gaia DR3 5592015812738664832 114.0167810 -32.8130627 13.421  1.102       1.529   3.3982  26.2625    18.42      nan      nan    2.550  nan      nan    nan   1.018     nan                                None      -8.495       4.415      -9.239       0.011       4.065       0.013
Gaia DR3 5589242496510072832 110.4718371 -36.6279089  8.713  0.025       1.919   2.7167  26.4203    18.59      nan      nan    2.511  nan      nan    nan   1.419     nan                                None      -7.698       5.285      -6.683       0.046       5.301       0.061
Gaia DR3 5587950849524928128 114.0007205 -36.1951202 18.917    nan       0.887   3.8719  26.4307    17.91      nan      nan    2.689  nan      nan    nan   1.030     nan                                None      -8.956       5.266      -8.462       0.272       5.170       0.383
Gaia DR3 5587950849530307200 114.0005060 -36.1950067 17.647  2.955       1.162   3.8717  26.4866    17.91      nan      nan    2.691  nan      nan    nan   3.239     nan                                None      -8.962       5.269      -9.321       0.229       4.717       0.260
Gaia DR3 5606071690206546688 108.5818853 -30.2068221 19.168  3.346       0.418   3.9517  26.4936    19.99      nan      nan    2.673  nan      nan    nan   1.003     nan                                None      -7.803       4.551      -7.885       0.195       4.772       0.235
Gaia DR3 5592828523622572032 111.2792468 -31.9344049 18.369  3.180       0.902   2.1950  26.6104    19.16      nan      nan    2.803  nan      nan    nan   1.031     nan                                None      -8.767       4.916      -8.414       0.125       4.517       0.137
Gaia DR3 5605634290737559808 110.6266014 -29.9173843 18.244  3.119       1.387   4.0236  26.6252    19.59      nan      nan    2.638  nan      nan    nan   1.047     nan                                None      -8.117       4.293      -8.414       0.122       5.005       0.125
Gaia DR3 5604230734080757376 107.3396530 -31.9593228 16.615  2.431       1.042   3.0815  26.6760    19.98      nan      nan    2.766  nan      nan    nan   2.166     nan                                None      -7.801       5.155      -7.195       0.276       5.189       0.167
Gaia DR3 5592911330598940800 112.5671892 -32.6002401 10.299  0.280       1.608   2.4008  26.7074    18.78      nan      nan    2.797  nan      nan    nan   0.861     nan                                None      -9.020       4.929      -9.885       0.012       4.542       0.013
Gaia DR3 5590292289597843584 109.0507596 -35.6734729 18.364  3.081       0.221   1.9778  26.7250    19.04      nan      nan    2.811  nan      nan    nan   1.019     nan                                None      -8.307       5.853      -8.383       0.128       5.960       0.137
Gaia DR3 5578747937200165248 105.6614412 -35.0020334 18.525  2.635       2.978   3.8708  26.7836    19.80      nan      nan    2.589  nan      nan    nan   0.955     nan                                None      -6.952       5.517      -6.591       0.150       3.932       0.142
Gaia DR3 5589112861519261312 110.3570592 -37.7486702 17.810  2.996       2.266   3.8293  26.8081    18.41      nan      nan    2.583  nan      nan    nan   1.069     nan                                None      -7.894       5.642      -6.960       0.096       6.448       0.098
Gaia DR3 5588067015503929728 114.2790672 -35.6640570 19.361  3.162       0.393   3.7966  26.8165    17.93      nan      nan    2.578  nan      nan    nan   1.011     nan                                None      -8.640       4.935      -8.802       0.216       5.075       0.273
Gaia DR3 5587913878451265664 113.6269851 -36.6803176 13.643  1.241       1.450   3.9446  26.8255    17.91      nan      nan    2.600  nan      nan    nan   1.041     nan                                None      -8.588       5.208      -9.022       0.011       4.543       0.013
Gaia DR3 5591318825443604352 112.2611584 -34.7583121 16.947  2.902       0.762   1.9180  26.8436    18.52      nan      nan    2.483  nan      nan    nan   1.108     nan                                None      -7.950       4.767      -8.337       0.057       4.672       0.066
Gaia DR3 5605140889196833536 108.7109167 -30.9807497 18.909  3.176       1.753   3.1889  26.8570    19.85      nan      nan    2.530  nan      nan    nan   1.044     nan                                None      -7.409       4.442      -7.864       0.197       5.258       0.215
Gaia DR3 5604956991573225344 110.2706070 -31.3021739 17.473  2.824       0.937   2.6215  26.8641    19.47      nan      nan    2.504  nan      nan    nan   1.028     nan                                None      -7.637       4.349      -8.098       0.073       4.528       0.080
Gaia DR3 5591939774635967232 114.7876480 -33.0233407 17.187  2.690       1.274   3.9546  26.8805    18.21      nan      nan    2.600  nan      nan    nan   1.009     nan                                None      -8.810       4.476      -8.179       0.058       4.176       0.061
Gaia DR3 5589127494469698688 110.1925168 -37.5819105 19.356  3.223       2.521   3.6596  26.9029    18.47      nan      nan    2.726  nan      nan    nan   1.000     nan                                None      -8.299       5.940      -7.049       0.229       6.672       0.273
Gaia DR3 5593003895729283456 111.9420462 -31.9795280 18.714  3.049       1.092   2.4462  26.9209    19.01      nan      nan    2.798  nan      nan    nan   0.984     nan                                None      -8.890       4.861      -8.261       0.150       4.724       0.189
Gaia DR3 5605670647645616640 109.8441719 -29.8745189 16.053  1.887       2.865   4.0573  26.9216    19.77      nan      nan    2.658  nan      nan    nan   0.969     nan                                None      -8.020       4.374      -9.612       0.031       4.586       0.041
Gaia DR3 5605581381043710976 110.4299614 -30.4496877 13.107  0.978       1.136   3.4796  26.9824    19.56      nan      nan    2.743  nan      nan    nan   1.130     nan                                None      -8.401       4.585      -7.821       0.010       4.894       0.012
Gaia DR3 5588697727161853056 114.9184504 -34.5557634 13.630  1.091       2.075   3.9756  26.9900    17.95      nan      nan    2.686  nan      nan    nan   1.149     nan                                None      -9.126       4.886      -8.030       0.013       4.461       0.016
Gaia DR3 5587898962022931584 114.0456016 -36.4609135 18.847  3.227       1.328   4.0581  26.9921    17.85      nan      nan    2.623  nan      nan    nan   1.020     nan                                None      -8.746       5.180      -8.855       0.175       4.453       0.193
Gaia DR3 5591792573212629504 114.1025441 -33.8962485 12.578  0.831       0.244   3.2633  27.0392    18.24      nan      nan    2.759  nan      nan    nan   0.979     nan                                None      -9.211       4.973      -9.299       0.010       4.861       0.012
Gaia DR3 5590645129753239808 108.1255470 -34.5568019 18.801  3.157       1.141   1.8056  27.0617    19.41      nan      nan    2.818  nan      nan    nan   1.027     nan                                None      -8.125       5.723      -8.704       0.163       5.371       0.162
Gaia DR3 5592248664385402624 114.4811981 -32.1985030 19.332  3.335       0.970   4.0025  27.0702    18.40      nan      nan    2.604  nan      nan    nan   0.971     nan                                None      -8.765       4.363      -9.031       0.231       4.824       0.291
Gaia DR3 5604939674264457344 110.7659573 -31.1049416 17.955  3.017       0.998   2.8618  27.0705    19.40      nan      nan    2.782  nan      nan    nan   0.944     nan                                None      -8.591       4.755      -9.160       0.094       4.620       0.101
Gaia DR3 5592321884984195200 114.1531502 -31.7502307 18.541  2.621       2.922   3.9890  27.0945    18.54      nan      nan    2.601  nan      nan    nan   1.018     nan                                None      -8.691       4.304      -7.103       0.127       4.090       0.137
