index,hostname,gaia_id,rv,ok,runtime_s,output_dir,error
2,KELT-1,2881784280929695360,-14.20667267,1,24.28,ALL_RUNS\GaiaDR32881784280929695360_friends,
0,HIP_65_A,4923860051276772608,21.18428993,1,79.17,ALL_RUNS\GaiaDR34923860051276772608_friends,
1,WASP-136,2441013811932929280,11.21512794,1,0.00,None,
2,KELT-1,2881784280929695360,-14.20667267,1,28.18,ALL_RUNS\GaiaDR32881784280929695360_friends,
3,HATS-34,4904523077718046720,19.81319046,1,0.00,None,
0,HIP_65_A,4923860051276772608,21.18428993,1,79.06,ALL_RUNS\GaiaDR34923860051276772608_friends,
1,WASP-136,2441013811932929280,11.21512794,1,19.77,ALL_RUNS\GaiaDR32441013811932929280_friends,
2,KELT-1,2881784280929695360,-14.20667267,1,19.10,ALL_RUNS\GaiaDR32881784280929695360_friends,
3,HATS-34,4904523077718046720,19.81319046,1,18.89,ALL_RUNS\GaiaDR34904523077718046720_friends,
4,WASP-96,4990044668377961984,-1.097559452,1,19.30,ALL_RUNS\GaiaDR34990044668377961984_friends,
5,TOI-198,2333676738050041728,19.7009964,1,1775.73,ALL_RUNS\GaiaDR32333676738050041728_friends,
6,WASP-44,2424406513428936832,-3.095204592,0,15.68,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
0,HIP_65_A,4923860051276772608,21.18428993,1,68.22,ALL_RUNS\GaiaDR34923860051276772608_friends,
1,WASP-136,2441013811932929280,11.21512794,1,30.02,ALL_RUNS\GaiaDR32441013811932929280_friends,
2,KELT-1,2881784280929695360,-14.20667267,1,28.84,ALL_RUNS\GaiaDR32881784280929695360_friends,
3,HATS-34,4904523077718046720,19.81319046,1,31.32,ALL_RUNS\GaiaDR34904523077718046720_friends,
4,WASP-96,4990044668377961984,-1.097559452,1,24.15,ALL_RUNS\GaiaDR34990044668377961984_friends,
5,TOI-198,2333676738050041728,19.7009964,0,20.23,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
6,WASP-44,2424406513428936832,-3.095204592,0,19.37,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
7,Gliese_12,2768048564768256512,51.04111099,0,300.02,,TimeoutError('Attempt timed out after 300s')
8,WASP-32,2546413408888429696,18.27012634,0,0.08,,RuntimeError('No result returned from child process')
9,WASP-158,2424621502311961344,24.67984581,0,0.08,,RuntimeError('No result returned from child process')
10,HD_1397,4707634458245031552,30.64109993,0,0.09,,RuntimeError('No result returned from child process')
11,TOI-6016,428360006379022592,-48.52323151,0,0.08,,RuntimeError('No result returned from child process')
12,WASP-26,2416782701664155008,9.0658741,0,0.08,,RuntimeError('No result returned from child process')
13,TOI-260,2428162410789155328,-10.71837807,0,0.08,,RuntimeError('No result returned from child process')
14,Qatar-4,385697172809355392,-29.14311028,0,0.09,,RuntimeError('No result returned from child process')
15,WASP-20,2359978293137038720,1.255960107,0,0.09,,RuntimeError('No result returned from child process')
16,WASP-1,2862548428079638912,-13.90166569,0,0.08,,RuntimeError('No result returned from child process')
17,WASP-45,2308834780352875904,4.713166237,0,0.09,,RuntimeError('No result returned from child process')
18,HATS-30,4906145613282734208,0.2136174589,0,0.08,,RuntimeError('No result returned from child process')
19,TOI-5322,2780169409154216448,-2.268136501,0,0.08,,RuntimeError('No result returned from child process')
20,HATS-49,4919770108539385472,7.625776291,0,0.08,,RuntimeError('No result returned from child process')
21,HATS-46,4919771654727611008,-32.45669174,0,0.08,,RuntimeError('No result returned from child process')
22,Qatar-5,382111248777193216,-9.334557533,0,0.08,,RuntimeError('No result returned from child process')
23,TOI-178,2318295979126499200,57.56665039,0,0.09,,RuntimeError('No result returned from child process')
29,HD_2685,4684205720883329920,2.741959333,0,0.08,,RuntimeError('No result returned from child process')
30,WASP-190,4994240000000000000,0.2908396125,0,0.08,,RuntimeError('No result returned from child process')
31,TOI-6029,430269136520563200,-24.8664875,0,0.08,,RuntimeError('No result returned from child process')
32,HD_3167,2554032474712538880,19.39881706,0,0.08,,RuntimeError('No result returned from child process')
34,TOI-2406,2528453161326406016,,0,0,,Missing/invalid RV
35,WASP-93,415703635408772480,-0.7054376602,0,0.08,,RuntimeError('No result returned from child process')
36,HAT-P-19,365426679516816512,-19.60743141,0,0.08,,RuntimeError('No result returned from child process')
37,HAT-P-16,381592313648387200,-16.66669464,0,0.08,,RuntimeError('No result returned from child process')
38,K2-149,2557342829345854208,6.841959,0,0.08,,RuntimeError('No result returned from child process')
39,TOI-1470,427224073427887360,3.536416769,0,0.08,,RuntimeError('No result returned from child process')
41,TOI-244,5001098681543159040,14.51407814,0,0.08,,RuntimeError('No result returned from child process')
42,LHS_1140,2371032916186181760,-13.74182224,0,0.08,,RuntimeError('No result returned from child process')
44,K2-206,2549096011101118080,26.62606239,0,0.08,,RuntimeError('No result returned from child process')
45,K2-217,2556248536102683008,-6.776754379,0,0.09,,RuntimeError('No result returned from child process')
46,K2-216,2556231154370582400,-26.53006744,0,0.08,,RuntimeError('No result returned from child process')
47,K2-207,2549087623029238400,-3.072942972,0,0.08,,RuntimeError('No result returned from child process')
48,HD_5278,4617759514501503616,-30.23285294,0,0.09,,RuntimeError('No result returned from child process')
49,K2-385,2552976943549668352,7.963480949,0,0.08,,RuntimeError('No result returned from child process')
7,Gliese_12,2768048564768256512,51.04111099,0,2.23,,ImportError/ComoveImportFail: IndentationError('unexpected indent', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 317, 8, '        ccc = None\n', 317, -1))
8,WASP-32,2546413408888429696,18.27012634,0,2.21,,ImportError/ComoveImportFail: IndentationError('unexpected indent', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 317, 8, '        ccc = None\n', 317, -1))
7,Gliese_12,2768048564768256512,51.04111099,0,19.65,,ValueError('max() arg is an empty sequence')
8,WASP-32,2546413408888429696,18.27012634,1,31.82,ALL_RUNS\GaiaDR32546413408888429696_friends,
9,WASP-158,2424621502311961344,24.67984581,1,24.47,ALL_RUNS\GaiaDR32424621502311961344_friends,
10,HD_1397,4707634458245031552,30.64109993,1,61.12,ALL_RUNS\GaiaDR34707634458245031552_friends,
11,TOI-6016,428360006379022592,-48.52323151,1,40.75,ALL_RUNS\GaiaDR3428360006379022592_friends,
12,WASP-26,2416782701664155008,9.0658741,1,21.32,ALL_RUNS\GaiaDR32416782701664155008_friends,
7,Gliese_12,2768048564768256512,51.04111099,0,19.32,,ValueError('max() arg is an empty sequence')
7,Gliese_12,2768048564768256512,51.04111099,0,27.07,,ValueError('max() arg is an empty sequence')
8,WASP-32,2546413408888429696,18.27012634,1,21.97,ALL_RUNS\GaiaDR32546413408888429696_friends,
9,WASP-158,2424621502311961344,24.67984581,1,20.80,ALL_RUNS\GaiaDR32424621502311961344_friends,
10,HD_1397,4707634458245031552,30.64109993,1,47.56,ALL_RUNS\GaiaDR34707634458245031552_friends,
11,TOI-6016,428360006379022592,-48.52323151,1,37.91,ALL_RUNS\GaiaDR3428360006379022592_friends,
12,WASP-26,2416782701664155008,9.0658741,1,23.55,ALL_RUNS\GaiaDR32416782701664155008_friends,
13,TOI-260,2428162410789155328,-10.71837807,0,28.25,,ValueError('max() arg is an empty sequence')
14,Qatar-4,385697172809355392,-29.14311028,1,31.26,ALL_RUNS\GaiaDR3385697172809355392_friends,
15,WASP-20,2359978293137038720,1.255960107,1,20.76,ALL_RUNS\GaiaDR32359978293137038720_friends,
7,Gliese_12,2768048564768256512,51.04111099,0,2.18,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
8,WASP-32,2546413408888429696,18.27012634,0,2.16,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
9,WASP-158,2424621502311961344,24.67984581,0,2.37,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
10,HD_1397,4707634458245031552,30.64109993,0,2.36,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
11,TOI-6016,428360006379022592,-48.52323151,0,2.35,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
12,WASP-26,2416782701664155008,9.0658741,0,4.15,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
13,TOI-260,2428162410789155328,-10.71837807,0,2.35,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
14,Qatar-4,385697172809355392,-29.14311028,0,2.27,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
15,WASP-20,2359978293137038720,1.255960107,0,2.17,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
16,WASP-1,2862548428079638912,-13.90166569,0,2.16,,ImportError/ComoveImportFail: SyntaxError('unterminated string literal (detected at line 130)', ('C:\\Users\\Eef\\MY SHIT\\Documents\\ASTR502spring26\\Comove.py', 130, 95, '        "CIRCLE(\'ICRS\'," + str(c.ra.value) + "," + str(c.dec.value) + "," + str(6.0/3600.0) + ")', 130, 95))
