target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,csv_path
HD_22946,155,155,61,44,0.0005393584182558676,3.7649556430340834e-05,14.325757575757578,0.9347503707365299,0.654374020619939,0.2803763501165909,0.7000521648408972,0.8591549295774648,0.8148148148148148,0.7000521648408972,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_22946.csv
HD_21520,937,937,141,592,0.0012467137208865137,0.0005065576683354948,2.461148648648649,0.7110785749145925,0.6529575895499644,0.058120985364628064,0.9182636245627159,0.9337748344370861,0.9833887043189369,0.9182636245627159,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_21520.csv
V1298_Tau,5236,5236,536,3120,0.004739280527625328,0.0026696958196059865,1.7752136752136751,0.6396673852787188,0.62594562941012,0.013721755868598806,0.978548607941579,0.9816849816849816,0.9968051118210862,0.978548607941579,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\V1298_Tau.csv
TOI-6054,717,717,99,465,0.0008753521870054244,0.00039788735772973834,2.2,0.6875,0.6112807822308064,0.0762192177691936,0.8891356832448093,0.908256880733945,0.9789473684210527,0.8891356832448093,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6054.csv
IRAS_04125+2902,7482,7482,464,2911,0.004102660755257747,0.0024908604265618675,1.6470857666323144,0.6222260673962885,0.6070136940389732,0.01521237335731529,0.9755516939028742,0.9789029535864979,0.9965765148921603,0.9755516939028742,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\IRAS_04125+2902.csv
TOI-178,162,162,40,44,0.000353677651315323,3.7649556430340834e-05,9.393939393939394,0.9037900874635568,0.5891372421984667,0.3146528452650901,0.6518518518518519,0.8,0.8148148148148148,0.6518518518518519,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-178.csv
TOI-1736,1104,1104,126,782,0.0011140846016432675,0.0006691352983756029,1.6649616368286448,0.6247600767754319,0.5715134793229804,0.05324659745245153,0.9147727272727274,0.9264705882352942,0.9873737373737373,0.9147727272727273,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1736.csv
K2-174,3974,3974,301,2582,0.0026614243261478057,0.002209344425071364,1.2046217402530341,0.5464074486150964,0.5267978069171254,0.01960964169797097,0.9641116867135087,0.9678456591639871,0.996141975308642,0.9641116867135088,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-174.csv
TOI-2580,2257,2257,109,839,0.0009637715998342552,0.0007179085873876355,1.342471195868097,0.5731004070556309,0.5187576617636617,0.05434274529196925,0.9051776187506805,0.9159663865546218,0.9882214369846879,0.9051776187506805,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-2580.csv
TOI-4145_A,5336,5336,239,2156,0.002113223966609055,0.0018448282650867008,1.1454854669140384,0.5339050226994307,0.5100971118391451,0.023807910860285664,0.9554079661211791,0.9598393574297188,0.9953831948291783,0.9554079661211791,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-4145_A.csv
